city,date,cpi,violent crime,property crime,patents,population,unemployment,case shiller,education and health,medical care,motor fuel,income,food and bev,DOW,SP500,NASDAQ
portland,06-16,250.94883333333334,3223.0,33321.0,379.0,805.5308333333334,4.6,202.578449325832,0.2086521396448164,532.1625000000001,212.47616666666667,52360.16666666667,232.73450000000003,17750.813863636362,2083.6804545454547,4854.631818181819
portland,07-16,251.71,3223.0,33321.0,304.0,805.9110000000001,4.5,204.219936393316,0.2092334237819871,531.392,215.924,52593.00000000001,232.822,18330.150499999996,2147.2742500000004,5019.79425
portland,08-16,252.7675,3223.0,33321.0,340.0,806.2911666666666,4.4,205.536783588725,0.21012915217473918,534.287,218.6705,52825.83333333334,233.2735,18496.733695652172,2177.5473913043475,5216.339782608695
portland,09-16,253.82500000000002,3223.0,33321.0,371.0,806.6713333333333,3.9,206.360430706258,0.21097030319528234,537.182,221.417,53058.66666666667,233.72500000000002,18268.466428571428,2157.632380952381,5251.438095238095
portland,10-16,254.8825,3223.0,33321.0,329.0,807.0515,3.9,207.801885956792,0.21237250804047078,540.077,224.1635,53291.5,234.17650000000003,18192.38071428572,2144.6028571428574,5261.105714285714
portland,11-16,255.94,3223.0,33321.0,360.0,807.4316666666666,3.4,209.51472976921298,0.2127865968050853,542.972,226.91,53524.333333333336,234.62800000000001,18675.98880952381,2163.412857142857,5258.700714285714
portland,12-16,256.9975,3223.0,33321.0,369.0,807.8118333333333,3.2,211.188768143365,0.2126037374432792,545.867,229.6565,53757.16666666667,235.0795,19702.90119047619,2246.3833333333337,5414.248095238095
portland,01-17,258.055,3361.0,36891.0,304.0,808.192,3.7,212.464397840965,0.210655684817776,548.762,232.403,53990.0,235.531,19906.943999999996,2274.3239999999996,5557.84175
portland,02-17,258.64933333333335,3361.0,36891.0,304.0,808.2966666666666,3.6,214.22384863022597,0.21381567169286236,551.1773333333333,234.20266666666666,54257.083333333336,235.69666666666666,20401.568421052634,2327.747894736842,5759.2986842105265
portland,03-17,259.2436666666667,3361.0,36891.0,397.0,808.4013333333334,3.6,215.179819729973,0.21526501365997125,553.5926666666667,236.00233333333333,54524.16666666667,235.86233333333334,20828.23608695652,2366.845434782608,5862.989347826087
portland,04-17,259.83799999999997,3361.0,36891.0,345.0,808.506,3.2,217.295949841049,0.2144403582299872,556.008,237.802,54791.25000000001,236.02800000000002,20685.002894736845,2359.7297368421046,5913.033421052632
portland,05-17,260.4323333333333,3361.0,36891.0,417.0,808.6106666666667,3.1,218.25834526970903,0.21573964666799675,558.4233333333334,239.60166666666666,55058.33333333334,236.19366666666667,20934.579545454544,2394.907954545455,6122.872954545454
portland,06-17,261.02666666666664,3361.0,36891.0,419.0,808.7153333333333,3.7,218.985588555544,0.21567090980702314,560.8386666666668,241.40133333333333,55325.41666666667,236.35933333333332,21314.035227272725,2434.3345454545456,6227.018181818182
portland,07-17,261.621,3361.0,36891.0,328.0,808.8199999999999,3.9,219.701866310285,0.21600704860772238,563.254,243.201,55592.50000000001,236.525,21572.98725,2453.571,6293.199500000001
sf,01-90,128.5,12388.0,57562.0,34.0,2961.0,3.7,73.64250639981,0.060893816372767647,155.2,88.1,29320.0,132.8,2679.236363636364,339.97181818181815,439.3504545454545
sf,02-90,129.2,12388.0,57562.0,51.0,2963.1666666666665,3.4,73.822604210509,0.06079552568178345,156.1,89.4,29461.416666666668,133.2,2614.1773684210525,330.4526315789474,424.5242105263158
sf,03-90,130.0,12388.0,57562.0,57.0,2965.3333333333335,3.2,74.595008943752,0.06090723625589939,158.3,91.0,29602.833333333336,133.0,2700.1331818181816,338.465,436.0904545454545
sf,04-90,130.7,12388.0,57562.0,56.0,2967.5,3.4,75.065394671585,0.06146515491407616,158.3,93.5,29744.250000000004,133.6,2708.2549999999997,338.178,428.99299999999994
sf,05-90,130.8,12388.0,57562.0,51.0,2969.6666666666665,3.4,75.020094313203,0.061159013515618706,158.3,96.9,29885.66666666667,133.0,2793.812272727273,350.25,442.5981818181819
sf,06-90,131.6,12388.0,57562.0,43.0,2971.8333333333335,3.6,74.588360073491,0.06155460235382514,158.7,99.7,30027.083333333336,133.7,2894.8300000000004,360.38666666666666,462.30619047619047
