atlanta,boston,chicago,cleveland,dallas,denver,detroit,la,miami,minneapolis,nyc,phoenix,portland,sf,seattle,tampa,dc,date,cpi,crimes_reported,crimes_cleared,patents,population,unemployment,case_shiller,dow,nasdaq,sp,label
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,03-11,245.617,51209,0,1436,8285.1725,8.3,165.504842617587,181.250019183073,12079.08608695652,2722.572391304348,1304.5510869565219
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,04-11,246.489,51209,0,1082,8291.32675,7.9,167.130224060269,182.038855837528,12422.328249999999,2796.5392500000003,1330.7692499999998
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,05-11,248.073,51209,0,1132,8297.481,7.9,166.836037780852,182.212788782728,12584.691904761907,2815.244761904762,1338.5545238095237
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,06-11,248.505,51209,0,1274,8303.63525,8.2,166.286349781224,182.831824858458,12100.437727272727,2688.2959090909094,1287.8668181818182
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,07-11,249.164,51209,0,1013,8309.789499999999,8.5,167.044856532206,183.335543185493,12518.356499999998,2810.132,1325.92925
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,08-11,250.058,51209,0,1113,8315.94375,8.4,166.692785928816,183.759151435226,11337.141304347826,2506.850652173913,1186.8028260869564
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,09-11,250.559,51209,0,1170,8322.098,8.3,166.949622386815,183.83299910631,11191.670238095236,2525.354523809524,1175.9402380952383
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10-11,250.051,51209,0,962,8328.25225,8.3,165.141458682571,183.77603071878002,11490.785952380955,2590.315,1204.387619047619
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11-11,249.317,51209,0,994,8334.406500000001,8.2,164.313264282684,185.014722675357,11801.16380952381,2607.849761904762,1226.48
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12-11,248.307,51209,0,972,8340.56075,8.4,162.987097074871,185.70256650744702,12071.321904761904,2604.5471428571427,1243.1178571428572
